BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
1.0,,0.0,2MASX J00004876-0709117,SDSS-12,220.5392348,1.51816802,0.57,0.0216599657,1.924882623,0.0439634654,0.0,0.0,7.592903733,0.0458284252,1.395842388,0.0273727776,1.395157993,0.0128920983,9.522972138,0.1007465175,3679.831855,25.47252,0.0,1,0.0,14.78596404,0,,,,,
2.0,,,Fairall 1203,6DF,510.1017856,5.307891165,5.72,0.2763285808,22.07676357,0.3215088808,0.0,0.0,24.37184629,0.20428763,7.777406495,0.332896742,6.875668123,0.2070926427,173.1744493,0.8583356638,6810.82463,49.35919126,,2,6.0,190.9818289,0,,,,,
5.0,1.0,,2MASXJ00040192+7019185,Masetti,268.8495049,0.0,1.31,0.0247616978,1.870409142,0.040369971,0.0,0.0,1.7365472,0.0837282076,5.823155813,0.0460818032,3.88450934,0.0633848507,72.43874572,0.1945859213,1967.432589,5.210079511,,4,,181.147829,0,,,,,
10.0,,,2MASX J00210753-1910056,6DF,557.8032974,69.69141692,-1.85,0.4314152689,3.279691504,0.5578323769,0.0,0.0,4.596854199,1.485268769,-2.350935324,0.4196343339,-2.350935324,0.0,0.0,0.0,0.0,0.0,,2,6.0,0.0,0,,,,,
14.0,1.0,,2MASX J00264073-5309479,6DF,506.167776,52.34504391,-5.74,2.270946792,13.75903162,2.491803135,0.0,0.0,12.24112631,1.362901252,3.968240553,1.420068808,1.972043333,2.153851314,234.0883518,3.803567769,3786.052849,114.0,,2,6.0,175.9689944,0,,,,,
18.0,,,2MASXJ00331831+6127433,Masetti,1010.157738,132.7131488,-7.77,2.59903583,13.51376309,0.1615459066,0.0,0.0,19.24819626,0.9377795541,4.254633663,0.5304483891,2.155534101,0.2355935861,319.280415,1.890004006,11518.60318,66.02968905,,2,,421.9683795,0,,,,,
28.0,,,NGC 235A,Gemini,445.3508191,1.101179487,6.57,0.0736087867,85.31224118,0.1628426853,0.0,0.0,63.9046178,0.1307489438,20.49548781,0.0239468267,14.96241917,0.0544517061,53.67858367,0.2917404819,5468.928436,110.450787,,2,,18.83247094,0,,,,,
33.0,,,Mrk 348,Crenshaw_Deveny,384.7008255,1.344520547,43.9,0.2019866009,94.3432704,0.6587787187,0.0,0.0,117.9898203,0.5839966119,65.76116332,0.2687425575,69.76507461,0.1417611754,110.2421623,1.203713956,2009.897007,25.94469928,,1,,35.70410297,0,,,,,
58.0,,,NGC 424,Saao,565.7919168,8.987423449,7.51,0.9673096475,39.02655781,1.300037888,0.0,0.0,55.69262789,4.210354395,11.32354571,0.5997226327,9.572844896,0.3243183771,133.1906761,5.199773803,1791.564263,53.51277294,,1,,87.40517325,0,,,,,
79.0,,,CGCG 459-058,SNIFS,555.3059295,1.046084994,2.2,0.047826658,18.25259199,0.0887135731,0.0,0.0,21.89881127,0.1220146726,7.745466909,0.0904789381,7.221816381,0.0769360507,8.448859593,0.308572137,1883.076813,22.62767362,,1,,9.857416955,0,,,,,
88.0,,,2MASX J01392400+2924067,SNIFS,500.135301,2.60478571,0.87,0.1757066275,15.50180936,0.3460092983,0.0,0.0,23.5986158,0.2336615753,3.649049227,0.1791975074,3.646168085,0.1312913254,44.41927462,0.6292134937,5629.199807,54.14688579,,1,,61.0160584,0,,,,,
131.0,,,IC 1816,Saao,511.9137239,11.52421551,8.84,0.3961001363,37.95459172,1.923648076,0.0,0.0,24.89604664,1.232047924,12.60134369,0.3536665988,11.9463702,0.1995389755,46.89538688,4.498769954,2503.410835,81.88926961,,2,,40.25253895,0,,,,,
135.0,,,2MASX J02351345-2936166,6DF,390.106891,11.78674906,13.24,0.8767687381,39.85809094,0.9094907495,0.0,0.0,-42.05316431,2.001065041,6.540013327,1.628921682,3.045141761,1.015457125,1756.857173,2.830004955,12687.11156,49.62948222,,4,6.0,139.6533416,0,,,,,
