BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
99.0,,,2MASX J01571097+4715588,Crenshaw_Deveny,424.1011071,9.30033383,-4.21,0.6302194073,-7.43770343,1.031661978,0.0,0.0,29.21437313,1.099919146,7.224550526,0.4047593552,4.697035293,0.9131933393,442.4960791,1.543928895,3136.26651,15.3,,2,,179.3951889,0,,,,,
113.0,,,SWIFT J0209.7+5226,LWINTER,0.0,84.45344089,-0.39,0.0,-0.5365784428,0.0,0.0,0.0,-0.5365784428,0.0,-0.634332065,0.0141006863,-0.634332065,0.0254176876,0.0,0.0,0.0,452.0518076,,9,,0.0,0,,,,,
130.0,,,Mrk 1044,Crenshaw_Deveny,464.680734,0.6958864644,-8.47,0.0,-18.69954806,0.3828196801,0.0,0.0,360.2648439,3.640516349,-37.09319487,0.4834728623,-37.09319487,0.5919255609,718.4468945,3.563650556,1960.297377,8.004820942,,2,,162.041886,0,,,,,
164.0,1.0,,ESO 031- G 008,6DF,268.8495049,0.0,-1.46,0.0,-2.301350788,0.301474174,0.0,0.0,5.85903216,0.242433789,-1.094586887,0.1350406128,-1.094586887,0.118578004,175.8812115,1.045740651,3040.94165,68.94633663,,2,6.0,100.4261855,0,,,,,
189.0,1.0,,ESO 548-G081,6DF,779.0485311,0.0,-43.31,0.2072477056,158.7030352,5.025109405,0.0,0.0,234.6219511,2.146942732,39.21649326,1.338403658,28.25712736,1.557098065,2231.611444,7.158468772,4985.780484,11.64572231,,2,6.0,102.9841032,0,,,,,
194.0,,,Fairall 1116,6DF,551.0763817,34.61491287,-5.88,0.2189440397,8.421033939,0.2290848345,0.0,0.0,11.12992497,0.5804470847,3.436364244,0.1099843769,-7.052815816,0.2303743494,244.6601177,1.946892998,6119.137638,95.5,,2,6.0,128.4466085,0,,,,,
208.0,,,2MASX J04053399-1308135,6DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,6.0,0.0,0,,,,,
266.0,,,Ark 120,LANDT2,1080.867978,0.0,-34.88,0.0,-59.22452012,0.0,0.0,0.0,89.46969683,16.3686776,-124.3830804,0.0,55.1937222,13.43090787,6811.688894,122.3470683,5137.889686,49.74677882,,2,,365.8076577,0,,,,,
268.0,1.0,,MCG -02-14-009,6DF,268.8495049,0.0,-2.68,0.0,27.38982001,0.4620555754,0.0,0.0,30.28454856,0.3596091796,7.351184669,0.1977359893,4.675432364,0.1478754004,1235.726374,1.775210435,3190.587934,2.139647225,,2,6.0,255.7949334,0,,,,,
270.0,,,PICTOR A,Saao,0.0,659.5763363,-9.75,5.081498561,-13.16163095,0.8301673634,0.0,0.0,-13.16163095,19.20907586,-11.26541774,5.213476429,-11.26541774,10.6465654,0.0,0.0,0.0,0.0,,4,,0.0,0,,,,,
301.0,,,MCG-05-14-012,Palermo,431.4398326,10.57161026,-3.48,0.2827365832,8.895594151,1.0078269,0.0,0.0,18.217165,0.6276201436,5.501883543,0.532067538,4.656084196,0.2653219371,189.1682853,3.055483089,6153.216012,61.78898938,,4,,51.31821805,0,,,,,
314.0,1.0,,PKS 0558-504,Saao,268.8495049,0.0,-4.45,0.1398432983,15.91480746,0.5101662938,0.0,0.0,41.83110652,0.397230971,-13.30947859,0.0,-13.30947859,0.0,0.0,0.0,0.0,0.0,,4,,0.0,0,,,,,
