,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Narrow Halpha Flux,Type,logMBH,logEddRatio,Intrinsic X-ray Luminosity,Broad Halpha Luminosity,Narrow Halpha Luminosity
1,9.522972138,166.82,10.8,22.19,7.592903733,1.9,7.97,-1.54,3.59684478178e+43,3.17154191126e+40,2.52874964543e+40
6,1929.256868,114.42,14.2,20.48,243.3610042,1.2,7.23,-0.98,2.22481517818e+43,3.02270419897e+42,3.81291025296e+41
8,1076.613573,412.83,26.8,21.04,58.9415604,1.5,8.07,-0.47,5.46611797286e+44,2.19585701537e+43,1.20216986064e+42
18,319.280415,485.94,11.8,22.0,19.24819626,1.9,8.84,-1.45,3.33464044629e+44,9.02275750481e+42,5.43947574294e+41
28,53.67858367,97.07,45.7,23.5,63.9046178,1.9,8.6,-2.08,5.15333015244e+43,6.05302984173e+40,7.20616178969e+40
33,110.2421623,65.68,139.3,23.12,117.9898203,1.9,7.61,-0.91,7.19149382901e+43,5.69135556265e+40,6.09133571123e+40
43,491.3930521,66.35,23.9,20.0,10.14967489,1.2,7.21,-1.23,1.25916157699e+43,2.5888838929e+41,5.34731407548e+39
58,133.1906761,47.48,67.0,24.33,55.69262789,1.9,5.81,-0.27,1.80758167864e+43,3.59332874454e+40,1.50252199716e+40
60,296.1530406,219.38,14.4,23.03,29.95595073,1.2,7.22,-0.46,8.29388986153e+43,1.70573659784e+42,1.72535663925e+41
61,634.6927623,238.57,22.7,20.0,72.21479498,1.2,7.74,-0.68,1.54617706092e+44,4.32311625461e+42,4.91880438136e+41
73,861.5815176,205.97,44.2,20.0,83.85518511,1.2,8.3,-1.11,2.24404682504e+44,4.37427436444e+42,4.25735207939e+41
77,190.5169924,73.11,11.2,20.61,108.5904657,1.5,6.61,-0.89,7.16429232295e+42,1.21867805897e+41,6.94619499786e+40
79,8.448859593,172.56,11.7,23.3,21.89881127,1.9,5.81,0.7,4.16934500303e+43,3.01078722439e+40,7.80373498639e+40
80,183.5400731,1010.99,13.9,24.13,14.57969978,2,7.54,0.31,1.70023999324e+45,2.24505160177e+43,1.7833804788e+42
88,44.41927462,331.98,5.0,20.0,23.5986158,1.9,7.52,-0.82,6.59470773213e+43,5.85864267584e+41,3.11251948168e+41
