BAT ID,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity
1.0,9.522972138,166.82,10.8,22.19,1.9,3.59684478178e+43
2.0,173.1744493,264.36,9.0,20.0,1.9,7.5272389588e+43
4.0,,176.92,11.2,22.86,2,4.19540210278e+43
5.0,72.43874572,447.51,10.6,22.61,1.9,2.54046409698e+44
6.0,1929.256868,114.42,14.2,20.48,1.2,2.22481517818e+43
7.0,,334.77,10.6,23.56,2,1.42167601767e+44
8.0,1076.613573,412.83,26.8,21.04,1.5,5.46611797286e+44
10.0,,444.12,14.0,21.98,1.9,3.30468755869e+44
13.0,,54.53,19.5,23.83,2,6.93916659639e+42
14.0,234.0883518,286.6,12.7,20.0,1.9,1.24841161484e+44
16.0,,668.83,11.1,20.0,1.2,5.94232192622e+44
18.0,319.280415,485.94,11.8,22.0,1.9,3.33464044629e+44
20.0,,1064.98,15.6,23.45,2,2.11743072048e+45
24.0,,112.18,16.6,23.04,2,2.50000378886e+43
28.0,53.67858367,97.07,45.7,23.5,1.9,5.15333015244e+43
29.0,,234.55,6.8,22.3,2,4.47694227557e+43
31.0,,84.39,7.9,22.91,2,6.73303345728e+42
32.0,,996.49,12.5,23.45,2,1.48544853612e+45
33.0,110.2421623,65.68,139.3,23.12,1.9,7.19149382901e+43
36.0,,271.59,25.2,20.3,1.5,2.22448662293e+44
39.0,,774.49,11.2,20.0,1.2,8.03991318812e+44
43.0,491.3930521,66.35,23.9,20.0,1.2,1.25916157699e+43
44.0,,217.3,14.1,22.57,2,7.96783391291e+43
45.0,92.5382273,318.18,9.1,20.0,1.2,1.10252603787e+44
49.0,,134.09,16.7,24.18,2,3.59344465324e+43
50.0,,84.43,8.0,22.98,2,6.82472683388e+42
51.0,657.5667903,303.62,10.6,20.0,1.5,1.16941409634e+44
53.0,,182.94,15.2,23.54,2,6.08783180088e+43
55.0,,212.87,10.5,23.56,2,5.69403230608e+43
58.0,133.1906761,47.48,67.0,24.33,1.9,1.80758167864e+43
60.0,296.1530406,219.38,14.4,23.03,1.2,8.29388986153e+43
61.0,634.6927623,238.57,22.7,20.0,1.2,1.54617706092e+44
62.0,,52.82,14.3,23.4,2,4.77457300974e+42
63.0,,53.46,15.7,23.3,2,5.36981432011e+42
64.0,,77.4,9.4,22.46,2,6.73924868306e+42
70.0,,90.43,24.9,24.24,2,2.43683495788e+43
72.0,,82.95,52.3,22.01,2,4.30661627272e+43
73.0,861.5815176,205.97,44.2,20.0,1.2,2.24404682504e+44
74.0,,84.0,17.0,22.78,2,1.43551984601e+43
77.0,190.5169924,73.11,11.2,20.61,1.5,7.16429232295e+42
79.0,8.448859593,172.56,11.7,23.3,1.9,4.16934500303e+43
80.0,183.5400731,1010.99,13.9,24.13,2,1.70023999324e+45
81.0,,110.32,17.4,24.2,2,2.53430839436e+43
82.0,,523.44,5.2,20.0,2,1.70505685737e+44
83.0,,71.26,13.6,23.89,2,8.26479816051e+42
84.0,,131.73,87.4,23.99,2,1.81502463394e+44
85.0,108.8861679,363.53,20.0,20.0,1.2,3.16309485715e+44
87.0,,111.11,85.9,23.76,2,1.26911555323e+44
88.0,44.41927462,331.98,5.0,20.0,1.9,6.59470773213e+43
89.0,,329.11,10.1,22.2,2,1.30919771398e+44
90.0,,365.32,12.4,20.0,1.5,1.98047922284e+44
94.0,137.1413681,132.02,10.4,20.0,1.2,2.16927446249e+43
95.0,239.7979109,147.55,7.5,20.0,1.2,1.95407576507e+43
96.0,,75.37,20.9,23.23,2,1.42083950635e+43
99.0,442.4960791,214.31,13.9,20.0,1,7.64014111779e+43
102.0,,59.68,96.2,23.82,2,4.10047726632e+43
106.0,331.2692073,192.03,27.0,20.0,1.2,1.19152630741e+44
111.0,406.3255501,612.4,7.9,20.0,1.2,3.54567693967e+44
113.0,,221.56,45.1,20.0,1,2.64948193256e+44
114.0,,223.3,7.6,22.96,2,4.53516138225e+43
116.0,302.3964876,117.41,13.5,20.0,1.5,2.22713043107e+43
118.0,,710.1,11.8,23.24,2,7.12070083703e+44
123.0,,277.53,13.7,22.97,2,1.26282201955e+44
124.0,,1171.97,9.1,20.0,1.2,1.49580881886e+45
126.0,132.1225334,257.72,11.9,20.0,1.2,9.45899322093e+43
127.0,479.9261213,270.88,11.6,20.57,1.2,1.01862323485e+44
129.0,1289.803998,71.41,53.5,21.09,1.5,3.26492760331e+43
130.0,718.4468945,69.62,9.8,20.0,1,5.68454646952e+42
131.0,46.89538688,72.94,20.7,23.87,1.9,1.31796407029e+43
133.0,,69.92,27.1,22.49,2,1.58552771395e+43
134.0,1566.276392,192.19,26.8,20.92,1.5,1.18467186671e+44
135.0,1756.857173,271.31,17.8,20.0,1.9,1.5680261911e+44
136.0,,203.7,24.8,20.0,1.9,1.23150292107e+44
137.0,,244.65,10.5,22.3,2,7.52110144906e+43
138.0,383.4578071,277.52,11.8,20.41,1.2,1.08760773712e+44
140.0,185.979812,19.482,24.0,22.95,1.9,1.09013435698e+42
142.0,,314.2,11.5,23.56,2,1.35866350263e+44
144.0,4027.84704,12.65,180.3,24.95,1.9,3.45285614769e+42
145.0,,161.82,7.2,22.72,2,2.25630911357e+43
147.0,,222.19,78.4,20.92,1.2,4.63198120046e+44
149.0,,263.13,35.2,23.59,2,2.91665527729e+44
150.0,47.59751063,93.94,17.7,22.46,1.9,1.86928742981e+43
151.0,,66.94,44.6,24.06,2,2.39170704195e+43
153.0,,49.23,29.6,24.27,2,8.58525284406e+42
156.0,,73.38,23.7,23.03,2,1.52723359336e+43
157.0,,127.98,108.3,23.76,2,2.12282589058e+44
159.0,,73.96,26.2,22.91,2,1.7151290536e+43
162.0,,144.78,15.3,22.02,1.5,3.83804694838e+43
163.0,,59.32,100.2,24.33,2,4.21960417849e+43
164.0,175.8812115,122.78,10.8,20.3,1,1.94841166525e+43
165.0,,158.67,41.6,24.94,2,1.25338554443e+44
167.0,144.5215028,300.68,18.9,20.82,1.2,2.04490244783e+44
169.0,1433.055064,282.8,8.9,21.08,1.5,8.51825279393e+43
170.0,52.01973455,640.21,14.1,21.2,1.5,6.91617107302e+44
171.0,,104.23,11.5,22.86,2,1.49515088888e+43
172.0,,413.27,14.5,22.51,2,2.96372204218e+44
173.0,1573.408672,84.25,69.3,21.68,1.5,5.88673873195e+43
179.0,,509.21,13.5,23.83,2,4.18918291524e+44
180.0,608.6968867,204.91,10.0,20.0,1.9,5.02490683555e+43
182.0,,57.49,10.0,22.41,2,3.95536280061e+42
183.0,590.2411855,246.52,20.9,21.36,1.5,1.52003053285e+44
184.0,,18.156,52.5,22.21,2,2.07110138468e+42
185.0,126.5241461,154.63,10.7,20.0,1.5,3.06177305634e+43
189.0,2231.611444,62.96,39.4,20.0,1,1.86907775191e+43
190.0,29.62667667,178.5,9.4,20.0,1.2,3.5843136155e+43
192.0,,142.1,15.4,20.85,2,3.72143625386e+43
193.0,,162.28,64.1,24.32,2,2.02017845486e+44
194.0,244.6601177,265.24,10.2,20.0,1,8.58776037382e+43
196.0,,81.8,13.6,22.34,2,1.08904850503e+43
197.0,469.8963384,157.64,11.1,20.0,1.5,3.30109132011e+43
199.0,25.18773913,503.04,19.3,24.17,1.9,5.84472465723e+44
200.0,,341.63,13.4,22.66,2,1.87162357855e+44
202.0,,453.44,8.0,23.03,2,1.96848156347e+44
203.0,,435.54,6.5,22.67,2,1.47560853211e+44
205.0,,116.15,21.1,22.48,1.9,3.40661136567e+43
207.0,194.8498798,248.93,9.2,20.0,1.9,6.82250736309e+43
208.0,,3366.66,13.1,20.0,1,1.77693491656e+46
209.0,,408.01,31.9,23.75,2,6.35526999069e+44
213.0,1353.543463,177.99,16.4,20.0,1.5,6.21780018756e+43
214.0,,221.26,103.9,21.87,1.2,6.08727709084e+44
216.0,370.0161612,12.234,17.6,20.0,1.5,3.15247265126e+41
217.0,,194.58,17.9,22.89,2,8.11056551142e+43
218.0,,206.74,24.4,23.64,2,1.24807463704e+44
220.0,596.5257045,485.7,21.5,20.0,1.5,6.0698278552e+44
223.0,,295.01,2.9,20.0,1.2,3.0204606384e+43
224.0,684.8023796,319.0,9.3,20.0,1.2,1.13257252564e+44
226.0,,146.29,81.7,21.45,1.5,2.09244014565e+44
227.0,,478.26,9.6,23.2,2,2.62785295197e+44
228.0,1575.382876,153.75,14.7,20.95,1.2,4.15862050977e+43
230.0,382.314707,159.6,15.7,20.9,1.2,4.78593872424e+43
232.0,1220.561845,167.19,17.9,21.34,1.5,5.98791096318e+43
237.0,,45.23,40.8,22.65,2,9.98883975502e+42
239.0,40.48322712,69.01,16.6,23.78,1.9,9.46093045994e+42
242.0,297.2422917,68.32,26.0,20.0,1.5,1.45234826689e+43
243.0,190.4369523,419.46,18.0,21.38,1.9,3.79014057069e+44
244.0,271.9237463,126.89,51.4,21.23,1.5,9.90420500729e+43
245.0,,130.9,42.5,24.14,2,8.71505095399e+43
246.0,,401.17,8.2,22.18,1.9,1.57932844268e+44
247.0,,79.54,20.0,22.51,2,1.51426845901e+43
249.0,,276.92,22.5,23.02,2,2.06487074602e+44
254.0,1750.670392,262.95,18.1,20.0,1.5,1.4977062173e+44
256.0,,201.81,7.7,21.91,2,3.75299337225e+43
258.0,,161.51,51.2,22.78,2,1.59834491135e+44
260.0,,76.09,21.0,22.33,1.9,1.45504414736e+43
261.0,504.9001267,76.0,80.8,21.08,1.5,5.58521959239e+43
262.0,,187.75,12.2,22.4,2,5.14661201446e+43
265.0,,103.2,30.8,23.29,2,3.92565218796e+43
266.0,6811.688894,143.93,59.5,20.0,1,1.47509952781e+44
268.0,1235.726374,126.78,13.0,20.7,1,2.50061340322e+43
